a_long b_tunnel mid_to_b ct_push_lower ct_push_mid
4 0.8
-43.860657 308.031250 63.804863 1.232004 108.665337 0.000000
-634.198425 2550.131592 -82.83689100000001 -2.217645 -76.230713 0.000000 False
-112.968750 1581.968750 0.5942759999999936 0.158344 -93.522331 0.000000 False
-616.370361 2153.143066 -121.166077 -4.813642 -70.642349 0.000000 False
-694.011658 1517.969849 -110.72313700000001 -7.831972 -37.904472 -0.000000 False
310.047974 1567.037231 2.100693000000007 0.384989 -148.712616 0.000000 False
409.968750 1366.909058 -0.7896649999999994 -0.154013 -176.708511 0.000000 False
428.766479 1748.896606 2.6687239999999974 0.327218 -127.395782 0.000000 False
489.969269 1823.415161 96.01492300000001 9.817394 -128.121475 0.000000 False
518.792786 2067.556152 126.03118900000001 9.567152 -115.237671 0.000000 False
718.834167 2763.968750 169.10849 6.282824 -110.272903 0.000000 False
273.031250 1632.631836 5.528480999999999 1.316300 -95.527557 0.000000 False
553.366211 2633.595215 94.300385 2.432809 -104.370796 0.000000 True
278.029114 2763.889893 137.28125 4.126815 -76.848953 0.000000 False
752.094421 2479.530762 94.589447 -1.551936 -120.945129 0.000000 True
739.047974 2379.968750 24.818427999999997 -6.843493 -126.433319 0.000000 False
1138.077759 2933.645264 127.099411 1.607203 -126.543419 0.000000 False
1116.578979 2597.455811 95.30658 -0.067547 -138.497955 0.000000 False
1004.968750 2379.968750 19.688484000000003 -5.419018 -147.204056 0.000000 False
1478.132324 2580.396973 62.449417 -0.914548 -151.997696 -0.000000 False
1376.047852 2332.047852 8.967934 -4.568672 -162.987061 0.000000 False
1744.347168 2072.854248 1.6078190000000063 -4.825351 179.899490 0.000000 True
1270.031250 2014.341675 0.07560700000000509 -6.692604 173.641876 0.000000 False
1126.630127 2527.953857 94.11724899999999 -0.089844 -167.301025 0.000000 False
1787.968750 1812.031250 0.7179339999999996 -3.728095 158.312729 0.000000 False
1386.979004 2564.367432 62.426497999999995 -2.399853 177.664291 0.000000 False
1624.512939 1710.203857 -1.0855260000000015 -4.190101 138.970398 0.000000 False
1058.193604 3023.654785 128.594788 4.664896 -94.743698 0.000000 False
1593.972656 1514.381348 -0.6060939999999988 -4.011703 123.597595 0.000000 False
1681.108032 627.813477 54.998383000000004 -0.797028 106.724487 0.000000 False
