a_short mid_to_b
6 0.65
210.656403 -297.095825 15.011093 0.308004 53.541485 0.000000
646.371460 1180.628906 0.8446809999999942 -0.057739 -90.550735 0.000000 False
539.031250 696.419373 0.30191000000000656 0.038511 -72.898537 0.000000 False
539.031250 342.408752 0.4766690000000011 0.789262 5.179454 0.000000 False
788.763184 1070.968994 -1.205070 0.019201 -113.138359 0.000000 False
974.223145 1195.971558 35.03125 3.407273 -125.731689 0.000000 False
1362.021240 1297.981567 -11.485610999999999 -0.577480 -142.157562 0.000000 False
1593.218628 1212.737183 -0.1002809999999954 0.269515 -153.578568 0.000000 False
534.031250 1157.224609 1.4551160000000039 -0.038486 -72.530251 0.000000 False
516.031250 808.031250 0.7897339999999957 0.673765 -6.085059 0.000000 False
1707.970459 1011.232300 -1.832222 0.731452 -168.309097 0.000000 False
860.036377 790.031250 0.4017259999999965 0.173259 179.471466 0.000000 True
1378.696899 703.232910 -36.585194 -3.002998 169.384369 0.000000 False
1768.968872 310.031250 56.500350999999995 2.618012 151.178452 0.000000 False
1286.890625 340.031433 31.03125 2.287914 131.676865 0.000000 False
916.031250 1195.968750 35.03125 8.085020 -95.284538 0.000000 False
968.031250 215.031250 10.695312000000001 0.173272 88.539345 0.000000 False
1292.031250 429.009338 -127.475449 -10.606356 90.670158 0.000000 False
1571.968750 201.031250 -182.034744 -11.704039 118.732941 -0.000000 False
1739.065918 1882.253052 0.5062099999999958 -0.634875 -125.532013 0.000000 False
1709.863403 2185.484375 0.8335040000000049 -1.116127 -114.405800 0.000000 True
1299.403931 2874.031250 125.08183299999999 2.907136 -90.656891 0.000000 True
1251.633789 2047.890625 0.060890000000000555 -0.230622 -89.078629 0.000000 False
1169.508545 2563.855957 94.97387699999999 4.581885 -80.924477 0.000000 False
1051.773804 2586.569580 95.235489 5.467377 -68.951065 0.000000 False
984.212891 2463.157227 95.475998 8.939253 -58.075157 0.000000 False
952.952332 2379.968994 -0.02966299999999933 -0.589505 -49.624020 -0.000000 False
1787.971924 1812.031250 0.7177889999999962 0.873494 -175.447952 0.000000 False
650.803040 2536.922363 94.373199 5.705292 -39.589542 0.000000 False
198.725983 2404.756836 -121.89272299999999 -4.266102 -20.026028 0.000000 False
-327.845459 2233.257568 -125.436615 -3.265265 -4.497430 0.000000 False
395.349579 2049.714844 94.624573 4.165388 1.058539 0.000000 False
-321.093933 2076.539551 -129.207199 -3.823533 -0.500676 0.000000 False
1051.031250 3059.968750 129.32608 8.573466 -59.230778 0.000000 False
828.533447 2763.968750 97.53836100000001 1.335444 -19.671318 0.000000 True
502.084900 2715.519287 94.228485 1.508699 -8.236453 0.000000 False
987.972534 2500.650635 95.44967700000001 3.029409 14.151685 0.000000 False
306.032684 1921.448242 96.343277 -0.358552 40.576813 0.000000 False
