mid_to_a a_retake
6 0.8
-1566.805786 -1098.012939 49.523003 -5.213991 111.295708 0.000000
-1847.325806 216.971130 73.207428 3.352191 -85.329643 0.000000 False
-2175.438721 -413.383545 74.169525 1.003701 1.218273 0.000000 False
-2029.740356 1121.027466 115.348114 2.004697 -94.671829 0.000000 True
-1824.601440 1003.755493 51.031250 -0.882804 -103.392197 0.000000 False
-2266.972168 4.262273 75.391632 0.387697 -3.016749 0.000000 False
-1390.624756 1343.055054 96.255249 0.753446 -123.984283 0.000000 False
-1769.044312 380.179169 181.309113 21.966923 -178.121307 0.000000 False
-1447.968750 541.649902 72.031250 -0.363074 179.285568 0.000000 True
-1031.789062 879.672058 68.311096 0.252928 -165.371857 0.000000 False
-454.287415 1264.424072 31.927086 -1.113822 -156.228592 0.000000 False
-1171.119507 1380.661499 74.638489 0.907422 -148.028488 0.000000 False
-1280.031250 1122.031250 97.595245 5.007673 -177.217499 0.000000 False
-1254.751221 211.709229 127.659531 4.738187 121.413231 0.000000 False
-1205.775391 -358.968384 102.729797 2.100941 105.301178 0.000000 False
-1429.135620 35.972420 102.051941 3.176256 88.690933 0.000000 False
