mid_to_b under_to_jungle b_retake
8 0.65
508.819611 823.928589 -121.968750 1.693996 -177.773300 0.000000
-396.284607 479.972626 -105.152206 1.751813 55.272839 0.000000 False
-156.530396 358.030975 -53.904987 6.987753 91.405602 0.000000 False
-1164.191406 498.728668 -80.96875 -0.096250 9.746446 0.000000 False
-1520.031250 785.301208 -51.031250 3.830695 -19.821058 0.000000 False
-1871.972290 792.598145 -48.96875 2.590192 -11.857055 0.000000 False
-1154.031250 378.071808 -80.968750 0.731455 43.858047 0.000000 False
-1024.785767 397.997131 -40.96875 12.257966 85.536690 0.000000 True
-1008.031250 769.956177 -52.695343 9.990720 -94.269356 0.000000 False
-1985.140625 798.569946 -51.031250 1.636325 -9.695889 0.000000 False
-2313.599609 712.557373 -40.96875 1.847988 -0.418847 0.000000 False
-2384.625244 652.626282 -79.96875 -2.079026 6.376532 0.000000 True
-1520.031250 863.968750 -10.968735000000002 14.995724 -83.411194 0.000000 False
-2392.066895 596.053162 -128.96875 -4.600809 13.171304 0.000000 False
-2655.968750 365.131500 -168.013657 -3.975557 16.532207 0.000000 False
-2329.031982 770.139404 -128.555618 -9.819014 -5.202404 0.000000 True
-2065.702881 412.234283 -160.96875 -9.386997 28.890722 -0.000000 False
-1910.923706 242.031250 -160.96875 -9.560245 55.205502 0.000000 False
-1851.914917 22.969439 -168.96875 -8.674742 70.181969 0.000000 False
-2072.953613 -646.660461 -168.96875 -4.048324 71.013916 0.000000 False
-1553.299683 -231.906067 -161.52990699999998 -5.549801 96.379669 0.000000 False
-1485.211060 108.031250 -167.96875 -9.010498 103.681885 0.000000 False
-1340.651245 294.613251 -168.96875 -11.192806 128.205460 0.000000 False
-2313.212646 142.447678 -168.96875 -6.655999 43.061619 0.000000 False
-2398.919922 543.968750 -166.926193 -12.931521 21.712349 0.000000 False
-2012.437622 849.971863 -25.031250 5.890657 -38.359776 0.000000 False
-816.320068 35.425301 -168.79861499999998 -4.837534 147.052689 0.000000 False
-2494.529785 321.158417 -168.96875 -9.871135 35.014805 0.000000 True
-2556.010742 104.028923 -166.399872 -8.219739 51.902359 0.000000 False
-2145.971191 22.972530 -168.025116 -9.139624 74.708481 0.000000 False
-1996.743408 -24.693726 -168.176788 -8.157878 88.087494 0.000000 False
-2114.031250 831.968933 -125.299744 -55.070122 -64.878845 0.000000 False
-1248.060059 515.977173 -165.065292 -0.092136 174.937317 0.000000 False
-2593.543457 535.968750 -166.36630200000002 0.061863 2.649839 0.000000 False
-2296.715820 -485.156372 -168.96875 -0.689082 88.050964 0.000000 False
-2248.126465 22.968708 -168.968750 -0.712236 91.653717 0.000000 False
-1941.856689 -17.868286 -168.403687 -0.438826 131.613617 0.000000 False
-2178.781982 22.968725 -168.96875 -0.669831 174.868561 0.000000 False
-1872.027710 -310.614746 -168.96875 -0.839232 121.817490 0.000000 True
-1365.035034 255.563522 -168.96875 0.557462 175.075851 0.000000 False
